StudyID,Age,Gender,StorybookVersion,DelayCondition,Trial,Animal,TrialAccuracy,Begin,End,ReactionTime,Answer,AnswerType,sumaccuracy,trialamount,OverallAccuracy
AMP026,3.660273973,F,4,1,2,dog,1,81926.8,81930.3,2.506911,bowling,correct,7,8,0.875
AMP026,3.660273973,F,4,1,3,monkey,1,81937.03,81939.91,1.883984,bouncehouse,correct,7,8,0.875
AMP026,3.660273973,F,4,1,4,cow,1,81946.57,81949.78,2.217639,castle,correct,7,8,0.875
AMP026,3.660273973,F,4,1,5,cat,1,81957.92,81961.16,2.234394,baseball,correct,7,8,0.875
AMP026,3.660273973,F,4,1,6,bear,1,81969.33,81974.32,3.983302,museum,correct,7,8,0.875
AMP026,3.660273973,F,4,1,7,sheep,0,81982.89,81987.14,3.254886,barn,incorrect2,7,8,0.875
AMP026,3.660273973,F,4,1,8,lion,1,81995.4,81999.83,3.43932,barn,correct,7,8,0.875
AMP114,5.336986301,M,2,1,1,pig,1,2327.394,2333.725,5.330169,playground,correct,8,8,1
AMP114,5.336986301,M,2,1,2,dog,1,2342.714,2346.433,2.718695,car,correct,8,8,1
AMP114,5.336986301,M,2,1,3,monkey,1,2353.319,2355.589,1.269679,beach,correct,8,8,1
AMP114,5.336986301,M,2,1,4,cow,1,2362.454,2367.114,3.659533,pool,correct,8,8,1
AMP114,5.336986301,M,2,1,5,cat,1,2375.461,2379.322,2.860041,mountain,correct,8,8,1
AMP114,5.336986301,M,2,1,6,bear,1,2387.785,2391.129,2.343911,library,correct,8,8,1
AMP114,5.336986301,M,2,1,7,sheep,1,2399.376,2407.807,7.430785,bedroom,correct,8,8,1
AMP114,5.336986301,M,2,1,8,lion,1,2416.079,2419.598,2.51904,street,correct,8,8,1
AMP023,4.673972603,M,3,1,1,bear,1,3015.277,3019.421,3.143049,castle,correct,8,8,1
AMP023,4.673972603,M,3,1,2,monkey,1,3027.578,3032.013,3.434992,subway,correct,8,8,1
AMP023,4.673972603,M,3,1,3,pig,1,3038.7,3041.302,1.601491,baseball,correct,8,8,1
AMP023,4.673972603,M,3,1,4,dog,1,3047.867,3051.292,2.424551,bouncehouse,correct,8,8,1
AMP023,4.673972603,M,3,1,5,lion,1,3059.417,3062.45,2.03197,movie,correct,8,8,1
AMP023,4.673972603,M,3,1,6,cat,1,3070.608,3074.641,3.032979,museum,correct,8,8,1
AMP023,4.673972603,M,3,1,7,cow,1,3082.781,3086.799,3.01781,basketball,correct,8,8,1
AMP023,4.673972603,M,3,1,8,sheep,1,3094.984,3099.241,3.256606,bowling,correct,8,8,1
AMP106,5.945205479,M,1,1,1,lion,1,10159.49,10164.46,3.978287,grocery,correct,8,8,1
AMP106,5.945205479,M,1,1,2,cat,1,10172.54,10176.32,2.786515,library,correct,8,8,1
